campaign_name,campaign_start,campaign_finish,campaign_img,campaign_link
나도 에코리더 챌린지 이벤트,2022-11-01,2022-11-22,https://www.ggc.go.kr/site/regional/file/image/uu/9c16d48027fa4f679f515318e414e6ed,https://www.ggc.go.kr/site/regional/communicate/view/5141
제로 플라스틱 서울,2022-11-07,2022-11-21,https://democracy.seoul.go.kr/file/viewImg.do?fileUrl=/upload/editor/20221104/0369B7788ED94FFEBBADC6F0F3B64D13.png,https://democracy.seoul.go.kr/front/seoulAsk/detail.do?sn=193480
지구를 지키는 O X 퀴즈,2022-11-07,2022-11-25,http://ppievent.co.kr/wp-content/uploads/2022/11/think-02.png,http://ppievent.co.kr/thinkearth/
친환경 여행으로 지구를 지키는 나를 보여줘!,2022-11-07,2022-11-26,http://ppievent.co.kr/wp-content/uploads/2022/11/think-03-1.png,http://ppievent.co.kr/thinkearth/
여기서부터 바다,2022-11-08,2022-11-21,http://ecobuddy.or.kr/upload/bbs/aaa%255B1667890451.jpg,http://ecobuddy.or.kr/04.php?type=view&idx=500&data=aWR4PTUwMCZwYWdlY250PSZsZXR0ZXJfbm89Jm9mZnNldD0mc2VhcmNoPSZzZWFyY2hzdHJpbmc9JnByZXNlbnRfbnVtPQ==%7C%7C&sub=1
제로웨이스트 캠페인 장보기편,2022-11-22,2022-12-09,https://postfiles.pstatic.net/MjAyMjExMDdfMjU5/MDAxNjY3ODA0MDc0NjI3.9TWjJu_d4zaG8iL6arnQIACFgPOuJufqLBq6Doaforkg.PktSfmav4oysjA2jF9cB2YP9HHI2ixMp8Ddl2Cpjutcg.JPEG.eco_hs/__A3_%EC%9E%A5%EB%B0%94%EA%B5%AC%EB%8B%88_%EC%9B%B9%ED%8F%AC%EC%8A%A4%ED%84%B0.jpg?type=w773,https://blog.naver.com/eco_hs
나의 토양을 지켜줘,2022-12-01,2022-12-23,https://mblogthumb-phinf.pstatic.net/MjAyMjEyMDFfMjAw/MDAxNjY5ODc3OTcwOTQ3.fwM0f3HRwm0rQde0f4e6lgQFSyAw3aNF8FcOCtNfj1Ug.V2oSNy-9Cgss2uDSQl-jWL1Z6Vdqt403g7inx4Xuhhkg.JPEG.chunggok1/%EC%B9%B4%EB%93%9C%EB%89%B4%EC%8A%A4_12%EC%9B%94_%ED%99%98%EA%B2%BD%EC%82%AC%EB%9E%91_%EC%BA%A0%ED%8E%98%EC%9D%B8_1.jpg?type=w800,https://m.blog.naver.com/chunggok1/222943260503
쇼 미 더 달력,2022-11-23,2022-12-05,https://mblogthumb-phinf.pstatic.net/MjAyMjExMjlfMTQz/MDAxNjY5Njg3NDczOTA1.e_k3m0Aosixzh2zifYKTeXVCXGUa1sGZSQ8nCZvoq0Eg.fPrgywyjb-Msch0l-ggeBdPYlACRRjEO31PgoIu1ZNAg.JPEG.mesns/1.JPG?type=w800,https://m.blog.naver.com/mesns/222941219595
세계 토양의 날 기념 이벤트,2022-12-05,2022-12-06,https://mblogthumb-phinf.pstatic.net/MjAyMjExMzBfMjAw/MDAxNjY5Nzk5NTQwMjE4._JCxADhQOaqx_SQxcanzwGtlUIRahfmLW_1BkFX41s4g.BzhDUOor2XXq_C-lvydm9QmMog7qSVU33jB3rnAyeWsg.JPEG.mesns/1.JPG?type=w800,https://m.blog.naver.com/mesns/222942486749
지구 온도 지키기 퀘스트,2022-11-28,2022-12-08,https://mblogthumb-phinf.pstatic.net/MjAyMjExMzBfNzQg/MDAxNjY5Nzk3NDQ3OTQ1.aKuFKfxVrz9jSTdQKyU-4OEk0V-DejZQEkdWOH0Qsakg.R4XSH_36Jt7qDTN8CGnZM6-uWXfBWc1nWgFtTu7tCLAg.JPEG.j-queenbee/%ED%99%8D%EB%B3%B4%EB%AC%BC_2.jpg?type=w800,https://m.blog.naver.com/j-queenbee/222942419809
오션클라우드 크리스마스 자원 순환 이벤트,2022-12-06,2022-12-31,https://mblogthumb-phinf.pstatic.net/MjAyMjExMjlfMTI2/MDAxNjY5NjkwMzYzNzc1.sZF9nbrSmsALLEEIFkUGMHy1YAI-WHSgtj3k13ilRCMg.m4w6Vj9mLjb--ec0DJVg5j1a7yhf_8touzEjrtF-S-og.JPEG.o-cloud/KakaoTalk_20221129_112222754.jpg?type=w800,https://m.blog.naver.com/o-cloud/222941166619
코오롱 스포츠 지구 환경 캠페인,2022-11-28,2022-12-31,http://www.tinnews.co.kr/imgdata/tinnews_co_kr/202211/2022112953319215.jpg,http://m.tinnews.co.kr/23901
‘NH지구은행’ ,2022-11-28,2022-12-31,http://www.thesegye.com/news/data/20221127/p1065589804193077_752_thum.jpg,http://www.handmk.com/news/articleView.html?idxno=14085
메타버스 친환경 캠페인 '캡틴쓱',2022-11-28,2022-12-11,https://www.lifein.news/news/photo/202211/14932_20289_2037.jpg,https://www.lifein.news/news/articleView.html?idxno=14932
